file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
bhD-04-009.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-010.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-05-001.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-002.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-003.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-004.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-005.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-006.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-007.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-008.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-009.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-05-010.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
