class,file,num_vars,num_constraints,density,coeff_range,coeff_min,coeff_max,obj_value,optimal,file_available,problem_size
labs,labs029.lp,58,29,0.021032728,8,-4,4,62,yes,yes,41.01219331
labs,labs030.lp,60,30,0.020352734,8,-4,4,59,yes,yes,42.42640687
labs,labs031.lp,62,31,0.019707036,8,-4,4,67,yes,yes,43.84062043
labs,labs032.lp,64,32,0.019108559,8,-4,4,64,yes,yes,45.254834
labs,labs033.lp,66,33,0.018538481,8,-4,4,64,yes,yes,46.66904756
labs,labs034.lp,68,34,0.0180077,8,-4,4,65,yes,yes,48.08326112
labs,labs035.lp,70,35,0.017500699,8,-4,4,73,yes,yes,49.49747468
labs,labs036.lp,72,36,0.017026749,8,-4,4,82,yes,yes,50.91168825
labs,labs037.lp,74,37,0.016572908,8,-4,4,86,yes,yes,52.32590181
labs,labs038.lp,76,38,0.01614713,8,-4,4,87,yes,yes,53.74011537
labs,labs039.lp,78,39,0.015738509,8,-4,4,99,yes,yes,55.15432893
labs,labs040.lp,80,40,0.015353916,8,-4,4,108,yes,yes,56.56854249
labs,labs041.lp,82,41,0.014984078,8,-4,4,132,no,yes,57.98275606
labs,labs042.lp,84,42,0.014634973,8,-4,4,149,no,yes,59.39696962
labs,labs043.lp,86,43,0.014298649,8,-4,4,165,no,yes,60.81118318
labs,labs044.lp,88,44,0.013980338,8,-4,4,166,no,yes,62.22539674
labs,labs045.lp,90,45,0.013673171,8,-4,4,182,no,yes,63.63961031
labs,labs046.lp,92,46,0.013381753,8,-4,4,203,no,yes,65.05382387
labs,labs047.lp,94,47,0.013100111,8,-4,4,183,no,yes,66.46803743
labs,labs048.lp,96,48,0.012832316,8,-4,4,196,no,yes,67.88225099
labs,labs049.lp,98,49,0.012573144,8,-4,4,216,no,yes,69.29646456
labs,labs050.lp,100,50,0.012326214,8,-4,4,257,no,yes,70.71067812
labs,labs051.lp,102,51,0.012086926,8,-4,4,249,no,yes,72.12489168
labs,labs052.lp,104,52,0.011858514,8,-4,4,254,no,yes,73.53910524
labs,labs053.lp,106,53,0.011636908,8,-4,4,270,no,yes,74.95331881
labs,labs054.lp,108,54,0.011425005,8,-4,4,255,no,yes,76.36753237
labs,labs055.lp,110,55,0.011219191,8,-4,4,283,no,yes,77.78174593
labs,labs056.lp,112,56,0.011022072,8,-4,4,276,no,yes,79.19595949
labs,labs057.lp,114,57,0.01083042,8,-4,4,320,no,yes,80.61017306
labs,labs058.lp,116,58,0.010646589,8,-4,4,317,no,yes,82.02438662
labs,labs059.lp,118,59,0.010467686,8,-4,4,333,no,yes,83.43860018
labs,labs060.lp,120,60,0.010295845,8,-4,4,366,no,yes,84.85281374
labs,labs061.lp,122,61,0.01012846,8,-4,4,346,no,yes,86.2670273
labs,labs062.lp,124,62,0.009967472,8,-4,4,379,no,yes,87.68124087
labs,labs063.lp,126,63,0.009810528,8,-4,4,387,no,yes,89.09545443
labs,labs064.lp,128,64,0.009659396,8,-4,4,412,no,yes,90.50966799
labs,labs065.lp,130,65,0.009511946,8,-4,4,460,no,yes,91.92388155
labs,labs066.lp,132,66,0.009369792,8,-4,4,417,no,yes,93.33809512
labs,labs067.lp,134,67,0.009230999,8,-4,4,457,no,yes,94.75230868
labs,labs068.lp,136,68,0.009097048,8,-4,4,402,no,yes,96.16652224
labs,labs069.lp,138,69,0.008966172,8,-4,4,446,no,yes,97.5807358
labs,labs070.lp,140,70,0.008839732,8,-4,4,527,no,yes,98.99494937
labs,labs071.lp,142,71,0.008716114,8,-4,4,499,no,yes,100.4091629
labs,labs072.lp,144,72,0.008596571,8,-4,4,516,no,yes,101.8233765
labs,labs073.lp,146,73,0.008479625,8,-4,4,548,no,yes,103.2375901
labs,labs074.lp,148,74,0.00836643,8,-4,4,557,no,yes,104.6518036
labs,labs075.lp,150,75,0.008255628,8,-4,4,553,no,yes,106.0660172
labs,labs076.lp,152,76,0.008148289,8,-4,4,602,no,yes,107.4802307
labs,labs077.lp,154,77,0.00804316,8,-4,4,610,no,yes,108.8944443
labs,labs078.lp,156,78,0.007941234,8,-4,4,643,no,yes,110.3086579
labs,labs079.lp,158,79,0.007841354,8,-4,4,611,no,yes,111.7228714
labs,labs080.lp,160,80,0.00774444,8,-4,4,644,no,yes,113.137085
labs,labs081.lp,162,81,0.007649425,8,-4,4,616,no,yes,114.5512986
labs,labs082.lp,164,82,0.007557164,8,-4,4,665,no,yes,115.9655121
labs,labs083.lp,166,83,0.007466667,8,-4,4,701,no,yes,117.3797257
labs,labs084.lp,168,84,0.007378731,8,-4,4,714,no,yes,118.7939392
labs,labs085.lp,170,85,0.007292438,8,-4,4,786,no,yes,120.2081528
labs,labs086.lp,172,86,0.00720853,8,-4,4,831,no,yes,121.6223664
labs,labs087.lp,174,87,0.007126153,8,-4,4,815,no,yes,123.0365799
labs,labs088.lp,176,88,0.007046003,8,-4,4,748,no,yes,124.4507935
labs,labs089.lp,178,89,0.006967283,8,-4,4,844,no,yes,125.8650071
labs,labs090.lp,180,90,0.006890643,8,-4,4,829,no,yes,127.2792206
labs,labs091.lp,182,91,0.006815341,8,-4,4,913,no,yes,128.6934342
labs,labs092.lp,184,92,0.006741986,8,-4,4,818,no,yes,130.1076477
labs,labs093.lp,186,93,0.006669884,8,-4,4,898,no,yes,131.5218613
labs,labs094.lp,188,94,0.006599608,8,-4,4,931,no,yes,132.9360749
labs,labs095.lp,190,95,0.006530507,8,-4,4,967,no,yes,134.3502884
labs,labs096.lp,192,96,0.006463119,8,-4,4,1012,no,yes,135.764502
labs,labs097.lp,194,97,0.006396835,8,-4,4,988,no,yes,137.1787156
labs,labs098.lp,196,98,0.006332161,8,-4,4,1049,no,yes,138.5929291
labs,labs099.lp,198,99,0.006268525,8,-4,4,1009,no,yes,140.0071427
labs,labs100.lp,200,100,0.006206404,8,-4,4,1050,no,yes,141.4213562
marketsplit,ms_03_050_002.lp,23,3,0.898550725,50,0,50,0,yes,yes,8.306623863
marketsplit,ms_03_050_005.lp,23,3,0.898550725,50,0,50,0,yes,yes,8.306623863
marketsplit,ms_03_050_007.lp,23,3,0.855072464,50,0,50,0,yes,yes,8.306623863
marketsplit,ms_03_050_009.lp,23,3,0.869565217,49,0,49,0,yes,yes,8.306623863
marketsplit,ms_03_100_001.lp,23,3,0.884057971,100,0,100,0,yes,yes,8.306623863
marketsplit,ms_03_100_012.lp,23,3,0.898550725,99,0,99,0,yes,yes,8.306623863
marketsplit,ms_03_100_019.lp,23,3,0.913043478,97,0,97,0,yes,yes,8.306623863
marketsplit,ms_03_100_022.lp,23,3,0.913043478,100,0,100,0,yes,yes,8.306623863
marketsplit,ms_03_200_050.lp,23,3,0.913043478,198,0,198,0,yes,yes,8.306623863
marketsplit,ms_03_200_068.lp,23,3,0.913043478,200,0,200,0,yes,yes,8.306623863
marketsplit,ms_03_200_161.lp,23,3,0.898550725,198,0,198,0,yes,yes,8.306623863
marketsplit,ms_03_200_177.lp,23,3,0.898550725,200,0,200,0,yes,yes,8.306623863
marketsplit,ms_04_050_001.lp,34,4,0.889705882,50,0,50,0,yes,yes,11.66190379
marketsplit,ms_04_050_003.lp,34,4,0.904411765,50,0,50,0,yes,yes,11.66190379
marketsplit,ms_04_050_004.lp,34,4,0.889705882,50,0,50,0,yes,yes,11.66190379
marketsplit,ms_04_050_005.lp,34,4,0.897058824,50,0,50,0,yes,yes,11.66190379
marketsplit,ms_04_100_003.lp,34,4,0.911764706,99,0,99,0,yes,yes,11.66190379
marketsplit,ms_04_100_009.lp,34,4,0.904411765,100,0,100,0,yes,yes,11.66190379
marketsplit,ms_04_100_013.lp,34,4,0.904411765,99,0,99,0,yes,yes,11.66190379
marketsplit,ms_04_100_015.lp,34,4,0.911764706,100,0,100,0,yes,yes,11.66190379
marketsplit,ms_04_200_030.lp,34,4,0.904411765,196,0,196,0,yes,yes,11.66190379
marketsplit,ms_04_200_150.lp,34,4,0.904411765,200,0,200,0,yes,yes,11.66190379
marketsplit,ms_04_200_174.lp,34,4,0.911764706,200,0,200,0,yes,yes,11.66190379
marketsplit,ms_04_200_176.lp,34,4,0.911764706,198,0,198,0,yes,yes,11.66190379
marketsplit,ms_05_050_001.lp,45,5,0.893333333,50,0,50,0,yes,yes,15
marketsplit,ms_05_050_002.lp,45,5,0.893333333,50,0,50,0,yes,yes,15
marketsplit,ms_05_050_003.lp,45,5,0.897777778,50,0,50,0,yes,yes,15
marketsplit,ms_05_050_004.lp,45,5,0.88,50,0,50,0,yes,yes,15
marketsplit,ms_05_100_003.lp,45,5,0.911111111,100,0,100,0,yes,yes,15
marketsplit,ms_05_100_006.lp,45,5,0.906666667,100,0,100,0,yes,yes,15
marketsplit,ms_05_100_013.lp,45,5,0.906666667,99,0,99,0,yes,yes,15
marketsplit,ms_05_100_015.lp,45,5,0.911111111,100,0,100,0,yes,yes,15
marketsplit,ms_05_200_070.lp,45,5,0.911111111,200,0,200,0,yes,yes,15
marketsplit,ms_05_200_095.lp,45,5,0.911111111,199,0,199,0,yes,yes,15
marketsplit,ms_05_200_180.lp,45,5,0.911111111,200,0,200,0,yes,yes,15
marketsplit,ms_05_200_199.lp,45,5,0.906666667,197,0,197,0,yes,yes,15
marketsplit,ms_06_050_001.lp,56,6,0.883928571,50,0,50,0,yes,yes,18.33030278
marketsplit,ms_06_050_002.lp,56,6,0.898809524,50,0,50,0,yes,yes,18.33030278
marketsplit,ms_06_050_003.lp,56,6,0.898809524,50,0,50,0,yes,yes,18.33030278
marketsplit,ms_06_050_004.lp,56,6,0.889880952,50,0,50,0,yes,yes,18.33030278
marketsplit,ms_06_100_002.lp,56,6,0.901785714,100,0,100,0,yes,yes,18.33030278
marketsplit,ms_06_100_003.lp,56,6,0.910714286,100,0,100,0,yes,yes,18.33030278
marketsplit,ms_06_100_005.lp,56,6,0.892857143,100,0,100,0,yes,yes,18.33030278
marketsplit,ms_06_100_010.lp,56,6,0.904761905,100,0,100,0,yes,yes,18.33030278
marketsplit,ms_06_200_077.lp,56,6,0.901785714,200,0,200,0,yes,yes,18.33030278
marketsplit,ms_06_200_104.lp,56,6,0.910714286,199,0,199,0,yes,yes,18.33030278
marketsplit,ms_06_200_240.lp,56,6,0.907738095,200,0,200,0,yes,yes,18.33030278
marketsplit,ms_06_200_289.lp,56,6,0.907738095,200,0,200,0,yes,yes,18.33030278
marketsplit,ms_07_050_001.lp,67,7,0.880597015,50,0,50,0,yes,yes,21.65640783
marketsplit,ms_07_050_002.lp,67,7,0.901918977,50,0,50,0,yes,yes,21.65640783
marketsplit,ms_07_050_003.lp,67,7,0.89978678,50,0,50,0,yes,yes,21.65640783
marketsplit,ms_07_050_004.lp,67,7,0.893390192,50,0,50,0,yes,yes,21.65640783
marketsplit,ms_07_100_002.lp,67,7,0.904051173,100,0,100,0,yes,yes,21.65640783
marketsplit,ms_07_100_003.lp,67,7,0.910447761,100,0,100,0,yes,yes,21.65640783
marketsplit,ms_07_100_005.lp,67,7,0.891257996,100,0,100,0,yes,yes,21.65640783
marketsplit,ms_07_100_006.lp,67,7,0.901918977,100,0,100,0,yes,yes,21.65640783
marketsplit,ms_07_200_248.lp,67,7,0.906183369,200,0,200,0,yes,yes,21.65640783
marketsplit,ms_07_200_370.lp,67,7,0.904051173,199,0,199,0,yes,yes,21.65640783
marketsplit,ms_07_200_398.lp,67,7,0.908315565,200,0,200,0,yes,yes,21.65640783
marketsplit,ms_07_200_500.lp,67,7,0.904051173,200,0,200,0,yes,yes,21.65640783
marketsplit,ms_08_050_000.lp,78,8,0.891025641,48,0,48,0,yes,yes,24.97999199
marketsplit,ms_08_050_001.lp,78,8,0.889423077,48,0,48,0,yes,yes,24.97999199
marketsplit,ms_08_050_002.lp,78,8,0.891025641,48,0,48,0,yes,yes,24.97999199
marketsplit,ms_08_050_003.lp,78,8,0.895833333,48,0,48,0,yes,yes,24.97999199
marketsplit,ms_08_100_000.lp,78,8,0.903846154,98,0,98,0,yes,yes,24.97999199
marketsplit,ms_08_100_001.lp,78,8,0.897435897,98,0,98,0,yes,yes,24.97999199
marketsplit,ms_08_100_002.lp,78,8,0.903846154,98,0,98,0,yes,yes,24.97999199
marketsplit,ms_08_100_003.lp,78,8,0.90224359,98,0,98,0,yes,yes,24.97999199
marketsplit,ms_08_200_000.lp,78,8,0.907051282,198,0,198,0,yes,yes,24.97999199
marketsplit,ms_08_200_001.lp,78,8,0.907051282,198,0,198,0,yes,yes,24.97999199
marketsplit,ms_08_200_002.lp,78,8,0.907051282,198,0,198,0,yes,yes,24.97999199
marketsplit,ms_08_200_003.lp,78,8,0.90224359,198,0,198,0,yes,yes,24.97999199
marketsplit,ms_09_050_000.lp,89,9,0.891385768,48,0,48,0,yes,yes,28.3019434
marketsplit,ms_09_050_001.lp,89,9,0.890137328,48,0,48,0,yes,yes,28.3019434
marketsplit,ms_09_050_002.lp,89,9,0.890137328,48,0,48,0,yes,yes,28.3019434
marketsplit,ms_09_050_003.lp,89,9,0.891385768,48,0,48,0,yes,yes,28.3019434
marketsplit,ms_09_100_000.lp,89,9,0.902621723,98,0,98,0,yes,yes,28.3019434
marketsplit,ms_09_100_001.lp,89,9,0.897627965,98,0,98,0,yes,yes,28.3019434
marketsplit,ms_09_100_002.lp,89,9,0.903870162,98,0,98,0,yes,yes,28.3019434
marketsplit,ms_09_100_003.lp,89,9,0.897627965,98,0,98,0,yes,yes,28.3019434
marketsplit,ms_09_200_000.lp,89,9,0.907615481,198,0,198,0,yes,yes,28.3019434
marketsplit,ms_09_200_001.lp,89,9,0.907615481,198,0,198,0,yes,yes,28.3019434
marketsplit,ms_09_200_002.lp,89,9,0.907615481,198,0,198,0,yes,yes,28.3019434
marketsplit,ms_09_200_003.lp,89,9,0.901373283,198,0,198,0,yes,yes,28.3019434
marketsplit,ms_10_050_000.lp,100,10,0.892,48,0,48,0,yes,yes,31.6227766
marketsplit,ms_10_050_001.lp,100,10,0.888,48,0,48,0,yes,yes,31.6227766
marketsplit,ms_10_050_002.lp,100,10,0.892,48,0,48,0,yes,yes,31.6227766
marketsplit,ms_10_050_003.lp,100,10,0.89,48,0,48,0,yes,yes,31.6227766
marketsplit,ms_10_100_000.lp,100,10,0.902,98,0,98,0,yes,yes,31.6227766
marketsplit,ms_10_100_001.lp,100,10,0.896,98,0,98,0,yes,yes,31.6227766
marketsplit,ms_10_100_002.lp,100,10,0.903,98,0,98,0,yes,yes,31.6227766
marketsplit,ms_10_100_003.lp,100,10,0.898,98,0,98,0,yes,yes,31.6227766
marketsplit,ms_10_200_000.lp,100,10,0.908,198,0,198,0,yes,yes,31.6227766
marketsplit,ms_10_200_001.lp,100,10,0.906,198,0,198,0,yes,yes,31.6227766
marketsplit,ms_10_200_002.lp,100,10,0.908,198,0,198,0,yes,yes,31.6227766
marketsplit,ms_10_200_003.lp,100,10,0.902,198,0,198,0,yes,yes,31.6227766
marketsplit,ms_11_050_000.lp,111,11,0.894348894,48,0,48,0,yes,yes,34.94281042
marketsplit,ms_11_050_001.lp,111,11,0.89025389,48,0,48,0,yes,yes,34.94281042
marketsplit,ms_11_050_002.lp,111,11,0.895167895,48,0,48,0,yes,yes,34.94281042
marketsplit,ms_11_050_003.lp,111,11,0.887796888,48,0,48,0,yes,yes,34.94281042
marketsplit,ms_11_100_000.lp,111,11,0.900900901,98,0,98,0,yes,yes,34.94281042
marketsplit,ms_11_100_001.lp,111,11,0.896805897,98,0,98,0,yes,yes,34.94281042
marketsplit,ms_11_100_002.lp,111,11,0.904176904,98,0,98,0,yes,yes,34.94281042
marketsplit,ms_11_100_003.lp,111,11,0.896805897,98,0,98,0,yes,yes,34.94281042
marketsplit,ms_11_200_000.lp,111,11,0.905814906,198,0,198,0,yes,yes,34.94281042
marketsplit,ms_11_200_001.lp,111,11,0.905814906,198,0,198,0,yes,yes,34.94281042
marketsplit,ms_11_200_002.lp,111,11,0.908271908,198,0,198,0,yes,yes,34.94281042
marketsplit,ms_11_200_003.lp,111,11,0.901719902,198,0,198,0,yes,yes,34.94281042
marketsplit,ms_12_050_000.lp,122,12,0.892759563,48,0,48,0,yes,yes,38.26225294
marketsplit,ms_12_050_001.lp,122,12,0.889344262,48,0,48,0,yes,yes,38.26225294
marketsplit,ms_12_050_002.lp,122,12,0.893442623,48,0,48,0,yes,yes,38.26225294
marketsplit,ms_12_050_003.lp,122,12,0.887295082,48,0,48,0,yes,yes,38.26225294
marketsplit,ms_12_100_000.lp,122,12,0.900956284,98,0,98,0,yes,yes,38.26225294
marketsplit,ms_12_100_001.lp,122,12,0.896174863,98,0,98,0,yes,yes,38.26225294
marketsplit,ms_12_100_002.lp,122,12,0.903005464,98,0,98,0,yes,yes,38.26225294
marketsplit,ms_12_100_003.lp,122,12,0.896857923,98,0,98,0,yes,yes,38.26225294
marketsplit,ms_12_200_000.lp,122,12,0.906420765,198,0,198,0,yes,yes,38.26225294
marketsplit,ms_12_200_001.lp,122,12,0.905054645,198,0,198,0,yes,yes,38.26225294
marketsplit,ms_12_200_002.lp,122,12,0.906420765,198,0,198,0,yes,yes,38.26225294
marketsplit,ms_12_200_003.lp,122,12,0.901639344,198,0,198,0,yes,yes,38.26225294
marketsplit,ms_13_050_000.lp,133,13,0.893001735,48,0,48,0,yes,yes,41.58124577
marketsplit,ms_13_050_001.lp,133,13,0.89010989,48,0,48,0,yes,yes,41.58124577
marketsplit,ms_13_050_002.lp,133,13,0.891266628,48,0,48,0,yes,yes,41.58124577
marketsplit,ms_13_050_003.lp,133,13,0.888953152,48,0,48,0,yes,yes,41.58124577
marketsplit,ms_13_100_000.lp,133,13,0.900520532,98,0,98,0,yes,yes,41.58124577
marketsplit,ms_13_100_001.lp,133,13,0.897628687,98,0,98,0,yes,yes,41.58124577
marketsplit,ms_13_100_002.lp,133,13,0.902255639,98,0,98,0,yes,yes,41.58124577
marketsplit,ms_13_100_003.lp,133,13,0.898207056,98,0,98,0,yes,yes,41.58124577
marketsplit,ms_13_200_000.lp,133,13,0.905725853,198,0,198,0,yes,yes,41.58124577
marketsplit,ms_13_200_001.lp,133,13,0.905725853,198,0,198,0,yes,yes,41.58124577
marketsplit,ms_13_200_002.lp,133,13,0.905725853,198,0,198,0,yes,yes,41.58124577
marketsplit,ms_13_200_003.lp,133,13,0.902255639,198,0,198,0,yes,yes,41.58124577
marketsplit,ms_14_050_000.lp,144,14,0.892361111,48,0,48,0,yes,yes,44.89988864
marketsplit,ms_14_050_001.lp,144,14,0.889880952,48,0,48,0,yes,yes,44.89988864
marketsplit,ms_14_050_002.lp,144,14,0.889880952,48,0,48,0,yes,yes,44.89988864
marketsplit,ms_14_050_003.lp,144,14,0.890376984,48,0,48,0,yes,yes,44.89988864
marketsplit,ms_14_100_000.lp,144,14,0.900297619,98,0,98,0,yes,yes,44.89988864
marketsplit,ms_14_100_001.lp,144,14,0.898809524,98,0,98,0,yes,yes,44.89988864
marketsplit,ms_14_100_002.lp,144,14,0.900793651,98,0,98,0,yes,yes,44.89988864
marketsplit,ms_14_100_003.lp,144,14,0.898809524,98,0,98,0,yes,yes,44.89988864
marketsplit,ms_14_200_000.lp,144,14,0.904761905,198,0,198,0,yes,yes,44.89988864
marketsplit,ms_14_200_001.lp,144,14,0.905753968,198,0,198,0,yes,yes,44.89988864
marketsplit,ms_14_200_002.lp,144,14,0.904265873,198,0,198,0,yes,yes,44.89988864
marketsplit,ms_14_200_003.lp,144,14,0.902777778,198,0,198,0,yes,yes,44.89988864
marketsplit,ms_15_050_000.lp,155,15,0.892903226,48,0,48,0,yes,yes,48.2182538
marketsplit,ms_15_050_001.lp,155,15,0.891182796,48,0,48,0,yes,yes,48.2182538
marketsplit,ms_15_050_002.lp,155,15,0.889462366,48,0,48,0,yes,yes,48.2182538
marketsplit,ms_15_050_003.lp,155,15,0.889462366,48,0,48,0,yes,yes,48.2182538
marketsplit,ms_15_100_000.lp,155,15,0.901075269,98,0,98,0,yes,yes,48.2182538
marketsplit,ms_15_100_001.lp,155,15,0.899784946,98,0,98,0,yes,yes,48.2182538
marketsplit,ms_15_100_002.lp,155,15,0.899354839,98,0,98,0,yes,yes,48.2182538
marketsplit,ms_15_100_003.lp,155,15,0.897634409,98,0,98,0,yes,yes,48.2182538
marketsplit,ms_15_200_000.lp,155,15,0.904946237,198,0,198,0,yes,yes,48.2182538
marketsplit,ms_15_200_001.lp,155,15,0.905806452,198,0,198,0,yes,yes,48.2182538
marketsplit,ms_15_200_002.lp,155,15,0.902795699,198,0,198,0,yes,yes,48.2182538
marketsplit,ms_15_200_003.lp,155,15,0.902795699,198,0,198,0,yes,yes,48.2182538
network,network05.lp,101,130,0.033511043,1000001,-1000000,1,65500,yes,yes,114.5862121
network,network06.lp,181,222,0.02015828,1000001,-1000000,1,101000,yes,yes,200.4544836
network,network07.lp,295,350,0.013016949,1000001,-1000000,1,142400,yes,yes,321.3253803
network,network08.lp,449,520,0.008874422,1000001,-1000000,1,170231,yes,yes,483.1976821
network,network09.lp,649,738,0.006313653,1000001,-1000000,1,196750,yes,yes,692.0708056
