class,file,num_vars,num_constraints,density,coeff_range,coeff_min,coeff_max,obj_value,optimal,feasible,file_available
birkhoff,bhD-3-043.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-044.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-045.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-046.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-047.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-048.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-049.lp,n/a,n/a,n/a,n/a,n/a,n/a,3,yes,n/a,no
birkhoff,bhD-3-050.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-051.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-052.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-053.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-054.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-055.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-056.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-057.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-058.lp,n/a,n/a,n/a,n/a,n/a,n/a,3,yes,n/a,no
birkhoff,bhD-3-059.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-060.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-061.lp,n/a,n/a,n/a,n/a,n/a,n/a,3,yes,n/a,no
birkhoff,bhD-3-062.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-063.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-064.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-065.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-066.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-067.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-068.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-069.lp,n/a,n/a,n/a,n/a,n/a,n/a,3,yes,n/a,no
birkhoff,bhD-3-070.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-071.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-072.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-073.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-074.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-075.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-076.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-077.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-078.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-079.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-080.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-081.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-082.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-083.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-084.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-085.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-086.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-087.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-088.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-089.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-090.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-091.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-092.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-093.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-094.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-095.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-096.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-097.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-098.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-099.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-100.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-4-001.qs,696,n/a,0.26606639,6130000000,-3630000000,2500000001,10,yes,yes,yes
birkhoff,bhD-4-002.qs,696,n/a,0.26606639,5320000000,-2820000000,2500000001,10,yes,yes,yes
birkhoff,bhD-4-003.qs,696,n/a,0.26606639,5040000000,-2540000000,2500000001,10,yes,yes,yes
birkhoff,bhD-4-004.qs,696,n/a,0.26606639,6090000000,-3590000000,2500000001,9,yes,yes,yes
birkhoff,bhD-4-005.qs,696,n/a,0.26606639,5960000000,-3460000000,2500000001,9,yes,yes,yes
birkhoff,bhD-4-006.qs,696,n/a,0.26606639,5530000000,-3030000000,2500000001,10,yes,yes,yes
birkhoff,bhD-4-007.qs,696,n/a,0.26606639,5470000000,-2970000000,2500000001,9,yes,yes,yes
birkhoff,bhD-4-008.qs,696,n/a,0.26606639,5040000000,-2540000000,2500000001,9,yes,yes,yes
birkhoff,bhD-4-009.qs,696,n/a,0.26606639,5450000000,-2950000000,2500000001,9,yes,yes,yes
birkhoff,bhD-4-010.qs,696,n/a,0.26606639,5250000000,-2750000000,2500000001,10,yes,yes,yes
birkhoff,bhD-4-011.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-012.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-013.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-014.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-015.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-016.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-017.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-018.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-019.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-020.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-021.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-022.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-023.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-024.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-025.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-026.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-027.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-028.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-029.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-030.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-031.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-032.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-033.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-034.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-035.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-036.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-037.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-038.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-039.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-040.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-041.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-042.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-043.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-044.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-045.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-046.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-047.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-048.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-049.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-050.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-051.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-052.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-053.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-054.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-055.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-056.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-057.lp,n/a,n/a,n/a,n/a,n/a,n/a,8,yes,n/a,no
birkhoff,bhD-4-058.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-059.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-060.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-061.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-062.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-063.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-064.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-065.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-066.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-067.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-068.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-069.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-070.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-071.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-072.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-073.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-074.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-075.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-076.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-077.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-078.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-079.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-080.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-081.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-082.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-083.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-084.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-085.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-086.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-087.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-088.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-089.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-090.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-091.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-092.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-093.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-094.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-095.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-096.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-097.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-4-098.lp,n/a,n/a,n/a,n/a,n/a,n/a,8,yes,n/a,no
birkhoff,bhD-4-099.lp,n/a,n/a,n/a,n/a,n/a,n/a,9,yes,n/a,no
birkhoff,bhD-4-100.lp,n/a,n/a,n/a,n/a,n/a,n/a,10,yes,n/a,no
birkhoff,bhD-5-001.qs,3480,n/a,0.23966557,30700000000,-18600000000,12100000000,15,no,yes,yes
birkhoff,bhD-5-002.qs,3480,n/a,0.23966557,23500000000,-11400000000,12100000000,14,no,yes,yes
birkhoff,bhD-5-003.qs,3480,n/a,0.23966557,27900000000,-15800000000,12100000000,15,no,yes,yes
birkhoff,bhD-5-004.qs,3480,n/a,0.23966557,24100000000,-12000000000,12100000000,14,no,yes,yes
birkhoff,bhD-5-005.qs,3480,n/a,0.23966557,24300000000,-12200000000,12100000000,15,no,yes,yes
birkhoff,bhD-5-006.qs,3480,n/a,0.23966557,24400000000,-12300000000,12100000000,15,no,yes,yes
birkhoff,bhD-5-007.qs,3480,n/a,0.23966557,26600000000,-14500000000,12100000000,14,no,yes,yes
birkhoff,bhD-5-008.qs,3480,n/a,0.23966557,23500000000,-11400000000,12100000000,15,no,yes,yes
birkhoff,bhD-5-009.qs,3480,n/a,0.23966557,27000000000,-14900000000,12100000000,15,no,yes,yes
birkhoff,bhD-5-010.qs,3480,n/a,0.23966557,24500000000,-12400000000,12100000000,15,no,yes,yes
birkhoff,bhD-5-011.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-012.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-013.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-014.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-015.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-016.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-017.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-018.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-019.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-020.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-021.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-022.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-023.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-024.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-025.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-026.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-027.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-028.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-029.lp,n/a,n/a,n/a,n/a,n/a,n/a,13,yes,n/a,no
birkhoff,bhD-5-030.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,yes,n/a,no
birkhoff,bhD-5-031.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-032.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-033.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-034.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-035.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-036.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-037.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-038.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-039.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-040.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-041.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-042.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-043.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-044.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-045.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-046.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-047.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-048.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-049.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,yes,n/a,no
birkhoff,bhD-5-050.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,yes,n/a,no
birkhoff,bhD-5-051.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-052.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-053.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-054.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-055.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-056.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-057.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-058.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-059.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-060.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-061.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-062.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-063.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
birkhoff,bhD-5-064.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,yes,n/a,no
birkhoff,bhD-5-065.lp,n/a,n/a,n/a,n/a,n/a,n/a,15,no,n/a,no
birkhoff,bhD-5-066.lp,n/a,n/a,n/a,n/a,n/a,n/a,14,no,n/a,no
