file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
stp_s020_l3_t4_h3_rs97531.lp,0,137540,0,137540,71960,0,71960,3.625202407134398e-05,-3.0,1.0
stp_s020_l4_t3_h3_rs37235.lp,0,294336,0,294336,151364,0,151364,1.72505424745059e-05,-2.0,1.0
stp_s020_l4_t4_h0_rs24098.lp,0,220480,0,220480,91512,0,91512,2.9840558951495222e-05,-3.0,1.0
stp_s020_l4_t4_h3_rs37235.lp,0,179872,0,179872,89384,0,89384,2.9494804846098143e-05,-3.0,1.0
stp_s020_l5_t3_h3_rs24098.lp,0,264900,0,264900,146679,0,146679,1.745307780936603e-05,-2.0,1.0
stp_s020_l5_t4_h0_rs24098.lp,0,302400,0,302400,128580,0,128580,2.110970379752461e-05,-3.0,1.0
stp_s020_l5_t4_h3_rs97531.lp,0,106200,0,106200,47888,0,47888,5.638155696625459e-05,-3.0,1.0
stp_s030_l2_t3_h1_rs97531.lp,0,267654,0,267654,139615,0,139615,1.8715060887486672e-05,-2.0,1.0
stp_s030_l2_t3_h3_rs97531.lp,0,269696,0,269696,138692,0,138692,1.8926830675165116e-05,-2.0,1.0
stp_s030_l2_t4_h2_rs97531.lp,0,255240,0,255240,129336,0,129336,2.0360404940104328e-05,-3.0,1.0
stp_s030_l2_t5_h1_rs24098.lp,0,276288,0,276288,127706,0,127706,2.1044430175559488e-05,-4.0,1.0
stp_s030_l3_t3_h1_rs97531.lp,0,361764,0,361764,185216,0,185216,1.4120727234065175e-05,-2.0,1.0
stp_s030_l3_t3_h2_rs97531.lp,0,358488,0,358488,195048,0,195048,1.3211738017939568e-05,-2.0,1.0
stp_s030_l3_t4_h0_rs24098.lp,0,252720,0,252720,119424,0,119424,2.2329403358342264e-05,-3.0,1.0
stp_s030_l3_t5_h1_rs24098.lp,0,473076,0,473076,217842,0,217842,1.2286292763724598e-05,-4.0,1.0
stp_s030_l4_t3_h1_rs97531.lp,0,499044,0,499044,253316,0,253316,1.0324593059201217e-05,-2.0,1.0
stp_s030_l4_t4_h0_rs97531.lp,0,695520,0,695520,322152,0,322152,8.277666029286382e-06,-3.0,1.0
stp_s030_l4_t4_h2_rs97531.lp,0,592410,0,592410,270531,0,270531,9.896904069547334e-06,-3.0,1.0
stp_s030_l5_t3_h1_rs97531.lp,0,636324,0,636324,321416,0,321416,8.137070386616147e-06,-2.0,1.0
stp_s030_l5_t4_h0_rs24098.lp,0,762600,0,762600,345231,0,345231,7.75544303622418e-06,-3.0,1.0
stp_s040_l2_t3_h0_rs97531.lp,0,423360,0,423360,239555,0,239555,1.066792826513976e-05,-2.0,1.0
stp_s040_l2_t3_h2_rs24098.lp,0,456000,0,456000,242902,0,242902,1.0703905278672057e-05,-2.0,1.0
stp_s040_l2_t4_h0_rs97531.lp,0,517440,0,517440,233853,0,233853,1.1532756462263461e-05,-3.0,1.0
stp_s040_l2_t4_h3_rs123.lp,0,418544,0,418544,209452,0,209452,1.2617960882957159e-05,-3.0,1.0
stp_s040_l3_t3_h0_rs97531.lp,0,728480,0,728480,388061,0,388061,6.6644339332005124e-06,-2.0,1.0
stp_s040_l3_t4_h0_rs97531.lp,0,929440,0,929440,385897,0,385897,7.073726226764472e-06,-3.0,1.0
stp_s040_l3_t4_h1_rs24098.lp,0,693280,0,693280,338998,0,338998,7.796084764090476e-06,-3.0,1.0
stp_s040_l4_t3_h0_rs97531.lp,0,1002240,0,1002240,530141,0,530141,4.878337831919667e-06,-2.0,1.0
stp_s040_l4_t4_h0_rs123.lp,0,1105920,0,1105920,493042,0,493042,5.450854085453166e-06,-3.0,1.0
stp_s040_l4_t4_h0_rs97531.lp,0,1209600,0,1209600,512275,0,512275,5.2984934152275915e-06,-3.0,1.0
stp_s040_l4_t4_h1_rs24098.lp,0,1094400,0,1094400,517252,0,517252,5.135311221609583e-06,-3.0,1.0
stp_s040_l4_t5_h0_rs24098.lp,0,1589760,0,1589760,695520,0,695520,3.875736389914084e-06,-4.0,1.0
stp_s040_l5_t3_h0_rs97531.lp,0,1188000,0,1188000,620192,0,620192,4.180306409293562e-06,-2.0,1.0
stp_s040_l5_t4_h0_rs24098.lp,0,1584000,0,1584000,728312,0,728312,3.6614344767993203e-06,-3.0,1.0
stp_s040_l5_t4_h1_rs24098.lp,0,1396480,0,1396480,620642,0,620642,4.330193573751051e-06,-3.0,1.0
stp_s040_l5_t5_h0_rs24098.lp,0,1760000,0,1760000,688330,0,688330,3.995176732090712e-06,-4.0,1.0
stp_s050_l2_t3_h1_rs97531.lp,0,675360,0,675360,355524,0,355524,7.3332401107741165e-06,-2.0,1.0
stp_s050_l2_t3_h3_rs24098.lp,0,577600,0,577600,308885,0,308885,8.417372161160302e-06,-2.0,1.0
stp_s050_l2_t4_h0_rs24098.lp,0,885600,0,885600,420512,0,420512,6.3414757882454405e-06,-3.0,1.0
stp_s050_l2_t4_h1_rs97531.lp,0,771840,0,771840,375572,0,375572,7.072545344168362e-06,-3.0,1.0
stp_s050_l2_t4_h3_rs24098.lp,0,831744,0,831744,398935,0,398935,6.684464052205664e-06,-3.0,1.0
stp_s050_l2_t5_h1_rs97531.lp,0,1013040,0,1013040,444830,0,444830,6.1018495026992655e-06,-4.0,1.0
stp_s050_l3_t3_h3_rs24098.lp,0,1396232,0,1396232,737466,0,737466,3.5182565631427004e-06,-2.0,1.0
stp_s050_l3_t4_h0_rs123.lp,0,1576000,0,1576000,690664,0,690664,3.9092815030173865e-06,-3.0,1.0
stp_s050_l3_t4_h0_rs24098.lp,0,1576000,0,1576000,754490,0,754490,3.5123063261275827e-06,-3.0,1.0
stp_s050_l3_t4_h2_rs123.lp,0,1156920,0,1156920,542310,0,542310,4.91723675880339e-06,-3.0,1.0
stp_s050_l3_t4_h2_rs24098.lp,0,1273800,0,1273800,565197,0,565197,4.771733921039385e-06,-3.0,1.0
stp_s050_l3_t5_h1_rs97531.lp,0,1634640,0,1634640,699930,0,699930,3.877938814289592e-06,-4.0,1.0
stp_s050_l3_t6_h2_rs97531.lp,0,694800,0,694800,235860,0,235860,1.2012775940529692e-05,-5.0,1.0
stp_s050_l4_t4_h0_rs123.lp,0,2601600,0,2601600,1241958,0,1241958,2.1303726320321083e-06,-3.0,1.0
stp_s050_l4_t4_h2_rs123.lp,0,1510552,0,1510552,757864,0,757864,3.4579946470242865e-06,-2.0,1.0
stp_s050_l4_t4_h2_rs24098.lp,0,1708800,0,1708800,764242,0,764242,3.5165562740597873e-06,-3.0,1.0
stp_s050_l4_t5_h0_rs97531.lp,0,2493200,0,2493200,1133496,0,1133496,2.3589964529899185e-06,-4.0,1.0
stp_s050_l5_t4_h0_rs97531.lp,0,2001000,0,2001000,940209,0,940209,2.8240236094241848e-06,-3.0,1.0
stp_s050_l5_t4_h2_rs97531.lp,0,2455200,0,2455200,1186922,0,1186922,2.2233043863782866e-06,-3.0,1.0
